Concentration A,Concentration B,Concentration C
0.1,0.197,0.703
0.178,0.037,0.785
0.152,0.213,0.635
0.206,0.036,0.758
0.144,0.061,0.795
0.162,0.053,0.785
0.074,0.05,0.876
0.096,0.067,0.837
0.06,0.026,0.914
0.078,0.18,0.742
0.19,0.165,0.645
0.201,0.175,0.624
0.141,0.212,0.647
0.103,0.035,0.862
0.097,0.113,0.79
0.131,0.132,0.737
0.112,0.188,0.7
0.129,0.079,0.792
0.147,0.139,0.714
0.144,0.061,0.795
0.037,0.062,0.901
0.06,0.119,0.821
0.07,0.181,0.749
0.068,0.029,0.903
0.021,0.064,0.915
0.144,0.072,0.784
0.078,0.129,0.793
0.144,0.162,0.694
0.042,0.131,0.827
0.031,0.113,0.856
0.154,0.027,0.819
0.174,0.097,0.729
0.126,0.115,0.759
0.183,0.159,0.658
0.126,0.186,0.688
0.206,0.121,0.673
0.205,0.159,0.636
0.108,0.162,0.73
0.054,0.135,0.811
0.149,0.038,0.813
0.111,0.121,0.768
0.163,0.193,0.644
0.19,0.104,0.706
0.026,0.193,0.781
0.095,0.196,0.709
0.157,0.19,0.653
0.017,0.031,0.952
0.085,0.021,0.894
0.082,0.16,0.758
0.029,0.103,0.868
0.202,0.143,0.655
0.192,0.152,0.656
0.076,0.214,0.71
0.196,0.15,0.654
0.07,0.087,0.843
0.043,0.036,0.921
0.194,0.085,0.721
0.16,0.118,0.722
0.2,0.017,0.783
0.043,0.199,0.758
0.101,0.166,0.733
0.164,0.043,0.793
0.085,0.076,0.839
0.134,0.087,0.779
0.2,0.045,0.755
0.013,0.13,0.857
0.057,0.218,0.725
0.046,0.103,0.851
0.065,0.055,0.88
0.056,0.124,0.82
0.135,0.15,0.715
0.093,0.115,0.792
0.132,0.034,0.834
0.068,0.102,0.83
0.163,0.2,0.637
0.108,0.059,0.833
0.091,0.046,0.863
0.215,0.165,0.62
0.024,0.076,0.9
0.044,0.179,0.777
0.113,0.121,0.766
0.058,0.138,0.804
0.083,0.165,0.752
0.104,0.202,0.694
0.101,0.152,0.747
0.085,0.156,0.759
0.109,0.037,0.854
0.049,0.122,0.829
0.189,0.085,0.726
0.12,0.021,0.859
0.151,0.059,0.79
0.211,0.059,0.73
0.08,0.209,0.711
0.05,0.035,0.915
0.03,0.136,0.834
0.104,0.047,0.849
0.175,0.16,0.665
0.033,0.031,0.936
0.117,0.127,0.756
0.089,0.072,0.839
0.06,0.131,0.809
0.089,0.106,0.805
0.132,0.098,0.77
0.176,0.155,0.669
0.085,0.169,0.746
0.093,0.143,0.764
0.131,0.177,0.692
0.065,0.152,0.783
0.15,0.088,0.762
0.116,0.012,0.872
0.22,0.181,0.599
0.212,0.208,0.58
0.211,0.129,0.66
0.08,0.066,0.854
0.069,0.042,0.889
0.166,0.15,0.684
0.136,0.067,0.797
0.08,0.045,0.875
0.124,0.027,0.849
0.203,0.148,0.649
0.025,0.04,0.935
0.167,0.076,0.757
0.144,0.033,0.823
0.081,0.106,0.813
0.189,0.123,0.688
0.194,0.112,0.694
0.112,0.076,0.812
0.154,0.138,0.708
0.171,0.16,0.669
0.148,0.144,0.708
0.118,0.141,0.741
0.108,0.058,0.834
0.083,0.12,0.797
0.037,0.166,0.797
0.058,0.044,0.898
0.184,0.114,0.702
0.072,0.141,0.787
0.141,0.054,0.805
0.183,0.218,0.599
0.014,0.03,0.956
0.127,0.175,0.698
0.021,0.108,0.871
0.017,0.16,0.823
0.068,0.112,0.82
0.023,0.148,0.829
0.087,0.073,0.84
0.169,0.19,0.641
0.066,0.109,0.825
0.031,0.068,0.901
0.117,0.052,0.831
0.095,0.082,0.823
0.049,0.111,0.84
0.168,0.119,0.713
0.104,0.124,0.772
0.061,0.133,0.806
0.071,0.186,0.743
0.093,0.105,0.802
0.133,0.037,0.83
0.06,0.062,0.878
0.053,0.028,0.919
0.108,0.179,0.713
0.038,0.166,0.796
0.025,0.17,0.805
0.163,0.067,0.77
0.061,0.13,0.809
0.168,0.208,0.624
0.091,0.026,0.883
0.181,0.091,0.728
0.032,0.063,0.905
0.211,0.077,0.712
0.028,0.116,0.856
0.115,0.138,0.747
0.198,0.124,0.678
0.139,0.08,0.781
0.046,0.05,0.904
0.102,0.153,0.745
0.154,0.174,0.672
0.133,0.198,0.669
0.054,0.161,0.785
0.082,0.076,0.842
0.039,0.065,0.896
0.195,0.127,0.678
0.129,0.087,0.784
0.165,0.159,0.676
0.115,0.146,0.739
0.05,0.213,0.737
0.206,0.135,0.659
0.124,0.047,0.829
0.212,0.069,0.719
0.2,0.127,0.673
0.13,0.038,0.832
0.096,0.016,0.888
0.084,0.152,0.764
0.094,0.105,0.801
0.189,0.177,0.634
0.092,0.167,0.741
0.092,0.167,0.741
0.178,0.144,0.678
0.046,0.194,0.76
0.123,0.021,0.856
0.197,0.194,0.609
0.089,0.055,0.856
0.138,0.192,0.67
0.072,0.031,0.897
0.149,0.13,0.721
0.166,0.105,0.729
0.167,0.136,0.697
0.165,0.027,0.808
0.126,0.015,0.859
0.061,0.119,0.82
0.185,0.041,0.774
0.194,0.15,0.656
0.156,0.173,0.671
0.065,0.146,0.789
0.092,0.045,0.863
0.129,0.075,0.796
0.141,0.076,0.783
0.183,0.036,0.781
0.099,0.074,0.827
0.171,0.085,0.744
0.072,0.191,0.737
0.025,0.094,0.881
0.106,0.091,0.803
0.177,0.108,0.715
0.168,0.153,0.679
0.191,0.196,0.613
0.179,0.103,0.718
0.104,0.041,0.855
0.088,0.072,0.84
0.128,0.064,0.808
0.1,0.091,0.809
0.098,0.028,0.874
0.104,0.158,0.738
0.202,0.11,0.688
0.201,0.078,0.721
0.116,0.048,0.836
0.048,0.035,0.917
0.047,0.163,0.79
0.195,0.054,0.751
0.121,0.031,0.848
0.12,0.011,0.869
0.036,0.194,0.77
0.201,0.179,0.62
0.115,0.093,0.792
0.049,0.036,0.915
0.148,0.014,0.838
0.184,0.127,0.689
0.207,0.074,0.719
0.129,0.025,0.846
0.125,0.16,0.715
0.207,0.201,0.592
0.068,0.126,0.806
0.062,0.071,0.867
0.14,0.147,0.713
0.159,0.088,0.753
0.159,0.181,0.66
0.175,0.097,0.728
0.025,0.161,0.814
0.193,0.125,0.682
0.113,0.052,0.835
0.166,0.036,0.798
0.122,0.069,0.809
0.19,0.058,0.752
0.177,0.147,0.676
0.196,0.17,0.634
0.067,0.062,0.871
0.214,0.053,0.733
0.131,0.183,0.686
0.209,0.074,0.717
0.025,0.077,0.898
0.119,0.109,0.772
0.195,0.087,0.718
0.075,0.09,0.835
0.217,0.16,0.623
0.152,0.072,0.776
0.041,0.05,0.909
0.175,0.039,0.786
0.216,0.082,0.702
0.078,0.165,0.757
0.016,0.164,0.82
0.11,0.202,0.688
0.114,0.162,0.724
0.05,0.078,0.872
0.026,0.092,0.882
0.132,0.131,0.737
0.079,0.095,0.826
0.068,0.17,0.762
0.127,0.088,0.785
0.097,0.169,0.734
0.188,0.159,0.653
0.084,0.171,0.745
0.158,0.17,0.672
0.108,0.181,0.711
0.087,0.076,0.837
0.131,0.16,0.709
0.208,0.061,0.731
0.084,0.051,0.865
0.18,0.038,0.782
0.21,0.021,0.769
0.146,0.137,0.717
0.103,0.204,0.693
0.188,0.207,0.605
0.13,0.145,0.725
0.092,0.121,0.787
0.13,0.183,0.687
0.058,0.125,0.817
0.059,0.091,0.85
0.1,0.06,0.84
0.184,0.1,0.716
0.156,0.141,0.703
0.173,0.159,0.668
0.063,0.203,0.734
0.175,0.076,0.749
0.034,0.184,0.782
0.216,0.108,0.676
0.051,0.17,0.779
0.203,0.219,0.578
0.041,0.177,0.782
0.149,0.031,0.82
0.154,0.031,0.815
0.055,0.097,0.848
0.1,0.167,0.733
0.156,0.044,0.8
0.033,0.156,0.811
0.087,0.083,0.83
0.095,0.08,0.825
0.087,0.146,0.767
0.186,0.21,0.604
0.084,0.079,0.837
0.185,0.122,0.693
0.065,0.206,0.729
0.123,0.12,0.757
0.102,0.121,0.777
0.201,0.107,0.692
0.202,0.088,0.71
0.115,0.103,0.782
0.198,0.161,0.641
0.147,0.129,0.724
0.088,0.115,0.797
0.029,0.175,0.796
0.091,0.148,0.761
0.192,0.118,0.69
0.151,0.2,0.649
0.032,0.099,0.869
0.074,0.146,0.78
0.076,0.059,0.865
0.023,0.189,0.788
0.106,0.048,0.846
0.077,0.096,0.827
0.175,0.054,0.771
0.03,0.182,0.788
0.204,0.04,0.756
0.012,0.153,0.835
0.023,0.201,0.776
0.135,0.105,0.76
0.107,0.039,0.854
0.155,0.083,0.762
0.04,0.043,0.917
0.171,0.104,0.725
0.094,0.055,0.851
0.15,0.085,0.765
0.209,0.108,0.683
0.164,0.058,0.778
0.166,0.063,0.771
0.079,0.124,0.797
0.02,0.133,0.847
0.214,0.058,0.728
0.029,0.059,0.912
0.056,0.086,0.858
0.055,0.143,0.802
0.132,0.077,0.791
0.18,0.086,0.734
0.22,0.093,0.687
0.191,0.041,0.768
0.116,0.058,0.826
0.066,0.067,0.867
0.05,0.099,0.851
0.147,0.207,0.646
0.095,0.127,0.778
0.145,0.118,0.737
0.028,0.031,0.941
0.039,0.146,0.815
0.051,0.145,0.804
0.194,0.204,0.602
0.056,0.171,0.773
0.135,0.024,0.841
0.138,0.152,0.71
0.038,0.195,0.767
0.187,0.083,0.73
0.156,0.146,0.698
0.181,0.128,0.691
0.102,0.218,0.68
0.028,0.178,0.794
0.068,0.031,0.901
0.138,0.206,0.656
0.185,0.118,0.697
0.036,0.055,0.909
0.069,0.162,0.769
0.104,0.167,0.729
0.154,0.065,0.781
0.166,0.115,0.719
0.135,0.204,0.661
0.136,0.104,0.76
0.143,0.094,0.763
0.189,0.095,0.716
0.048,0.096,0.856
0.089,0.179,0.732
0.183,0.164,0.653
0.147,0.104,0.749
0.08,0.019,0.901
0.212,0.139,0.649
0.187,0.17,0.643
0.102,0.079,0.819
0.161,0.036,0.803
0.16,0.053,0.787
0.041,0.182,0.777
0.183,0.201,0.616
0.22,0.032,0.748
0.02,0.179,0.801
0.028,0.013,0.959
0.067,0.198,0.735
0.125,0.058,0.817
0.022,0.114,0.864
0.124,0.058,0.818
0.066,0.106,0.828
0.17,0.026,0.804
0.023,0.068,0.909
0.133,0.039,0.828
0.011,0.06,0.929
0.097,0.205,0.698
0.103,0.096,0.801
0.134,0.209,0.657
0.179,0.185,0.636
0.18,0.131,0.689
0.022,0.058,0.92
0.026,0.186,0.788
0.172,0.032,0.796
0.122,0.104,0.774
0.204,0.169,0.627
0.098,0.15,0.752
0.08,0.034,0.886
0.118,0.154,0.728
0.022,0.069,0.909
0.157,0.093,0.75
0.066,0.157,0.777
0.087,0.115,0.798
0.046,0.155,0.799
0.133,0.054,0.813
0.041,0.209,0.75
0.018,0.086,0.896
0.073,0.025,0.902
0.081,0.168,0.751
0.075,0.029,0.896
0.108,0.196,0.696
0.07,0.062,0.868
0.091,0.145,0.764
0.192,0.14,0.668
0.022,0.158,0.82
0.03,0.213,0.757
0.022,0.169,0.809
0.077,0.166,0.757
0.166,0.195,0.639
0.126,0.07,0.804
0.1,0.063,0.837
0.207,0.036,0.757
0.113,0.189,0.698
0.034,0.157,0.809
0.093,0.181,0.726
0.147,0.075,0.778
0.166,0.104,0.73
0.15,0.13,0.72
0.091,0.193,0.716
0.042,0.155,0.803
0.102,0.072,0.826
0.013,0.082,0.905
0.05,0.204,0.746
0.209,0.092,0.699
0.04,0.08,0.88
0.178,0.022,0.8
0.091,0.064,0.845
0.105,0.209,0.686
0.171,0.053,0.776
0.121,0.149,0.73
0.078,0.129,0.793
0.161,0.174,0.665
0.069,0.026,0.905
0.19,0.056,0.754
0.095,0.136,0.769
0.07,0.152,0.778
0.101,0.174,0.725
0.024,0.18,0.796
0.126,0.148,0.726
0.155,0.15,0.695
0.097,0.072,0.831
0.126,0.064,0.81
0.028,0.046,0.926
0.142,0.041,0.817
0.167,0.04,0.793
0.133,0.06,0.807
0.105,0.028,0.867
0.186,0.117,0.697
0.086,0.036,0.878
0.095,0.02,0.885
0.115,0.039,0.846
0.075,0.079,0.846
0.022,0.082,0.896
0.118,0.173,0.709
0.051,0.168,0.781
0.095,0.117,0.788
0.038,0.133,0.829
0.139,0.125,0.736
0.1,0.12,0.78
0.119,0.122,0.759
0.138,0.048,0.814
0.199,0.205,0.596
0.073,0.13,0.797
0.216,0.167,0.617
0.197,0.112,0.691
0.197,0.168,0.635
0.016,0.215,0.769
0.073,0.096,0.831
0.1,0.038,0.862
0.04,0.031,0.929
0.033,0.175,0.792
0.079,0.023,0.898
0.144,0.17,0.686
0.186,0.157,0.657
0.21,0.152,0.638
0.02,0.026,0.954
0.021,0.107,0.872
0.037,0.175,0.788
0.044,0.126,0.83
0.035,0.18,0.785
0.025,0.2,0.775
0.186,0.041,0.773
0.214,0.048,0.738
0.167,0.172,0.661
0.203,0.039,0.758
0.031,0.016,0.953
0.2,0.124,0.676
0.213,0.154,0.633
0.202,0.14,0.658
0.042,0.025,0.933
0.107,0.097,0.796
0.053,0.116,0.831
0.111,0.18,0.709
0.116,0.086,0.798
0.062,0.036,0.902
0.137,0.071,0.792
0.153,0.027,0.82
0.195,0.206,0.599
0.028,0.206,0.766
0.029,0.1,0.871
0.18,0.081,0.739
0.077,0.177,0.746
0.101,0.187,0.712
0.163,0.192,0.645
0.117,0.214,0.669
0.171,0.215,0.614
0.092,0.161,0.747
0.13,0.164,0.706
0.085,0.026,0.889
0.105,0.057,0.838
0.209,0.11,0.681
0.192,0.066,0.742
0.171,0.024,0.805
0.082,0.044,0.874
0.145,0.124,0.731
0.024,0.049,0.927
0.09,0.035,0.875
0.107,0.053,0.84
0.049,0.109,0.842
0.081,0.095,0.824
0.168,0.139,0.693
0.168,0.138,0.694
0.114,0.195,0.691
0.073,0.099,0.828
0.116,0.065,0.819
0.105,0.197,0.698
0.136,0.154,0.71
0.077,0.098,0.825
0.074,0.012,0.914
0.034,0.101,0.865
0.042,0.112,0.846
0.19,0.198,0.612
0.218,0.138,0.644
0.195,0.168,0.637
0.021,0.141,0.838
0.154,0.059,0.787
0.071,0.216,0.713
0.036,0.209,0.755
0.057,0.103,0.84
0.073,0.118,0.809
0.069,0.053,0.878
0.189,0.139,0.672
0.049,0.201,0.75
0.195,0.196,0.609
0.05,0.011,0.939
0.202,0.196,0.602
0.164,0.027,0.809
0.066,0.087,0.847
0.177,0.021,0.802
0.052,0.096,0.852
0.174,0.168,0.658
0.098,0.052,0.85
0.134,0.115,0.751
0.189,0.097,0.714
0.152,0.186,0.662
0.146,0.195,0.659
0.039,0.03,0.931
0.176,0.187,0.637
0.189,0.181,0.63
0.071,0.042,0.887
0.089,0.088,0.823
0.055,0.111,0.834
0.184,0.105,0.711
0.099,0.074,0.827
0.095,0.049,0.856
0.071,0.172,0.757
0.028,0.046,0.926
0.065,0.06,0.875
0.105,0.143,0.752
0.036,0.079,0.885
0.04,0.107,0.853
0.168,0.014,0.818
0.044,0.198,0.758
0.032,0.149,0.819
0.026,0.143,0.831
0.099,0.218,0.683
0.163,0.073,0.764
0.087,0.186,0.727
0.142,0.087,0.771
0.109,0.199,0.692
0.061,0.216,0.723
0.165,0.179,0.656
0.175,0.119,0.706
0.034,0.154,0.812
0.184,0.117,0.699
0.116,0.209,0.675
0.034,0.191,0.775
0.093,0.144,0.763
0.118,0.051,0.831
0.137,0.085,0.778
0.054,0.136,0.81
0.107,0.066,0.827
0.127,0.031,0.842
0.035,0.139,0.826
0.052,0.071,0.877
0.05,0.081,0.869
0.149,0.182,0.669
0.163,0.199,0.638
0.099,0.154,0.747
0.012,0.092,0.896
0.053,0.045,0.902
0.162,0.086,0.752
0.075,0.125,0.8
0.197,0.17,0.633
0.173,0.062,0.765
0.116,0.068,0.816
0.196,0.083,0.721
0.022,0.19,0.788
0.068,0.069,0.863
0.125,0.092,0.783
0.027,0.044,0.929
0.08,0.176,0.744
0.2,0.049,0.751
0.048,0.202,0.75
0.22,0.144,0.636
0.141,0.144,0.715
0.105,0.076,0.819
0.186,0.052,0.762
0.082,0.103,0.815
0.181,0.139,0.68
0.193,0.088,0.719
0.146,0.056,0.798
0.181,0.125,0.694
0.201,0.072,0.727
0.127,0.131,0.742
0.174,0.074,0.752
0.059,0.038,0.903
0.194,0.204,0.602
0.142,0.217,0.641
0.021,0.058,0.921
0.044,0.185,0.771
0.165,0.022,0.813
0.033,0.035,0.932
0.076,0.021,0.903
0.123,0.137,0.74
0.095,0.216,0.689
0.135,0.118,0.747
0.108,0.205,0.687
0.053,0.14,0.807
0.026,0.174,0.8
0.168,0.053,0.779
0.079,0.097,0.824
0.115,0.1,0.785
0.085,0.16,0.755
0.147,0.079,0.774
0.133,0.079,0.788
0.218,0.082,0.7
0.109,0.091,0.8
0.04,0.025,0.935
0.068,0.011,0.921
0.19,0.15,0.66
0.159,0.121,0.72
0.18,0.034,0.786
0.098,0.045,0.857
0.094,0.155,0.751
0.163,0.11,0.727
0.108,0.153,0.739
0.105,0.024,0.871
0.029,0.191,0.78
0.017,0.17,0.813
0.193,0.144,0.663
0.073,0.176,0.751
0.198,0.079,0.723
0.185,0.057,0.758
0.181,0.103,0.716
0.154,0.041,0.805
0.079,0.209,0.712
0.197,0.207,0.596
0.2,0.092,0.708
0.065,0.208,0.727
0.101,0.08,0.819
0.161,0.09,0.749
0.027,0.017,0.956
0.097,0.065,0.838
0.032,0.063,0.905
0.199,0.103,0.698
0.161,0.022,0.817
0.127,0.213,0.66
0.019,0.194,0.787
0.031,0.133,0.836
0.177,0.154,0.669
0.05,0.193,0.757
0.183,0.13,0.687
0.04,0.087,0.873
0.099,0.13,0.771
0.13,0.039,0.831
0.114,0.135,0.751
0.027,0.175,0.798
0.17,0.15,0.68
0.156,0.07,0.774
0.215,0.039,0.746
0.094,0.164,0.742
0.074,0.129,0.797
0.041,0.101,0.858
0.076,0.108,0.816
0.205,0.158,0.637
0.106,0.089,0.805
0.08,0.092,0.828
0.069,0.064,0.867
0.161,0.12,0.719
0.165,0.11,0.725
0.146,0.115,0.739
0.127,0.193,0.68
0.136,0.104,0.76
0.116,0.065,0.819
0.03,0.019,0.951
0.201,0.105,0.694
0.218,0.133,0.649
0.063,0.037,0.9
0.161,0.017,0.822
0.118,0.12,0.762
0.035,0.21,0.755
0.217,0.098,0.685
0.107,0.02,0.873
0.131,0.02,0.849
0.088,0.169,0.743
0.102,0.023,0.875
0.205,0.116,0.679
0.138,0.085,0.777
0.201,0.091,0.708
0.136,0.087,0.777
0.157,0.098,0.745
0.199,0.046,0.755
0.045,0.086,0.869
0.044,0.142,0.814
0.067,0.175,0.758
0.066,0.076,0.858
0.136,0.108,0.756
0.138,0.062,0.8
0.073,0.023,0.904
0.147,0.179,0.674
0.012,0.214,0.774
0.09,0.034,0.876
0.183,0.075,0.742
0.137,0.196,0.667
0.149,0.165,0.686
0.16,0.169,0.671
0.133,0.104,0.763
0.156,0.116,0.728
0.183,0.205,0.612
0.159,0.203,0.638
0.216,0.133,0.651
